name,address,category,latitude,longitude,rating
Restaurant Les Brides,"10420 Lajeunesse Street, Montreal, QC H3L 2E5, Canada",Sushi Bars,45.5537599,-73.664,4.0
Les Cavistes,"196 Rue Fleury O, Montreal, QC H3L 1T5, Canada","French, Wine Bars, Seafood",45.545757,-73.666302,4.0
Sama Fusion,"945 Rue Fleury E, Montreal, QC H2C 1P5, Canada","Vietnamese, Sushi Bars, Thai",45.5575701869447,-73.659651093185,4.0
Toujours Mikes,"10490 Rue Lajeunesse, Montreal, QC H3L 2E5, Canada",Pizza,45.55407,-73.66486,3.5
Bar Vintage 132,"132 Rue Fleury O, Montreal, QC H3L 1T4, Canada",Bars,45.5466484243969,-73.6659856711132,4.5
StHubert,"10520 Rue Lajeunesse, Montreal, QC H3L 2E6, Canada","Barbeque, Chicken Shop",45.55422522740152,-73.66530427853547,2.5
Le Millen,"1185 Rue Fleury Est, Montreal, QC H2C 1P9, Canada",French,45.55894,-73.65894,4.0
McDonald's,"10400 Rue Lajeunesse, Montreal, QC H3L 2E5, Canada","Fast Food, Burgers",45.5536191356266,-73.6635259195566,2.5
La Bête à Pain,"114 Rue Fleury O, Montreal, QC H3L 2T6, Canada",Bakeries,45.54672,-73.6656299,3.5
Les Faims Finauds,"9443 Rue Lajeunesse, Montreal, QC H2M 1S5, Canada","French, Cafes, Delis",45.5501395936896,-73.6507769675854,4.5
Martini Pizzeria,"9481 Lajeunesse Rue, Montreal, QC H2M 1S5, Canada",Pizza,45.5503799,-73.65093,4.0
Brama Usine à Bouffe,"9850 Rue Saint-Urbain, Local 101, Montreal, QC H3L 2T2, Canada",Italian,45.54501241642956,-73.66035978641699,4.5
Über Cafbar,"1011 Rue Fleury E, Montreal, QC H2C 1P8, Canada",Bars,45.557981,-73.659398,4.5
Pho 99 Chabanel,"9345 Boulevard Saint-Laurent, Montreal, QC H2N 1P6, Canada",Vietnamese,45.54487,-73.6514399,3.5
Madre,"124 Rue Fleury Ouest, Montreal, QC H3L 1T4, Canada","Seafood, Latin American",45.5466801,-73.6658532,4.0
Restaurant Madre,"124 Rue Fleury O, Montreal, QC H3L 1T4, Canada",Latin American,45.54667,-73.665848,3.5
La Molisana,"1014 Rue Fleury E, Montreal, QC H2C 1P7, Canada",Italian,45.5578762,-73.6590576,2.5
Le Fouvrac,"1404, rue Fleury Est, Montreal, QC H2C 1R8, Canada","Coffee & Tea, Specialty Food",45.56119,-73.65703,5.0
Restaurant O Cantinho,"3204 Jarry Rue E, Montreal, QC H1Z 2E2, Canada",Portuguese,45.56316,-73.60975,4.0
Café Zezin,"2351 Rue Jean Talon Est, Montreal, QC H2E 1W1, Canada",Cafes,45.55268,-73.60326,5.0
Banh Xeo Minh,"2670 Rue Jarry E, Montreal, QC H1Z 2C2, Canada",Vietnamese,45.560946,-73.611782,4.5
Boulangerie & Pâtisserie Tillemont,"1812 Rue Tillemont, Montreal, QC H2E 1C5, Canada","Bakeries, Coffee & Tea, Pizza",45.55211,-73.61565,4.5
Pho Nam Quan,"3562 Rue Jarry E, Montreal, QC H1Z 2G3, Canada",Vietnamese,45.566567,-73.606808,4.0
Fondue Kim Long,"3250 Boulevard Crémazie E, Montreal, QC H2A 2Y6, Canada","Fondue, Chinese, Hot Pot",45.562726,-73.605534,4.0
Pho Lam,"8485 Boulevard Saint Michel, Montreal, QC H1Z 3E7, Canada",Vietnamese,45.56706,-73.61645,5.0
Deli Plus,"1675 Rue Villeray, Montreal, QC H2E 1H5, Canada","Pizza, Poutineries, Sandwiches",45.55097,-73.61506,4.0
Pho Ngon,"3205 Boulevard Crémazie E, Montreal, QC H1Z 4M5, Canada",Vietnamese,45.5622,-73.607714,3.5
Kim Hour,"7682 Boulevard Saint-Michel, Montreal, QC H2A 3A5, Canada","Cambodian, Chinese, Thai",45.561651,-73.605223,3.5
Poissonerie Restaurant Mediteraneene,"7735 Boulevard Saint Michel, Montreal, QC H2A 3A7, Canada",Mediterranean,45.56244,-73.60558,5.0
Pho Nam,"3250 Blvd Crémazie E, Montreal, QC H2A 3N9, Canada",Vietnamese,45.563051,-73.60555,4.0
La Fleur de Sel,"2344 Rue Jean-Talon, Montreal, QC H2E 1V7, Canada","Bakeries, Patisserie/Cake Shop",45.55211040868328,-73.60302424110444,4.0
Cambo Thai,"1660 Rue Jarry E, Montreal, QC H2E 1B3, Canada","Cambodian, Thai",45.55275,-73.61918,5.0
Caffè Roma,"1667 Rue Villeray, Montreal, QC H2E 1H5, Canada","Bars, Cafes",45.55098,-73.61518,5.0
La Zone,"2660 Rue Jarry E, Montreal, QC H1Z 2C7, Canada","Pubs, Burgers, Sandwiches",45.56069,-73.61181,1.0
PFK,"1700 Rue Jarry E, Montreal, QC H2E 1B3, Canada","Chicken Wings, Fast Food, Chicken Shop",45.5528427943922,-73.618843,2.0
Parc Frédéric-Back,"2235 Rue Michel-Jurdant, Montreal, QC H1Z 4N1, Canada",Parks,45.5581117317277,-73.6212652308504,4.0
Club des Pecheurs,"7933 Boulevard Saint-Michel, Montreal, QC H1Z 3C9, Canada",Seafood,45.5633,-73.60768,1.0
Tim Hortons,"8115 Av Papineau, Montreal, QC H2E 2H7, Canada","Coffee & Tea, Breakfast & Brunch",45.5535643229302,-73.6190981828922,1.0
Hoogan et Beaufort,"4095 Rue Molson, Montreal, QC H1Y 3L1, Canada","Canadian (New), Breweries",45.5421766124662,-73.5634769072506,4.5
Boswell,"2407 Avenue du Mont-Royal E, Montreal, QC H2H 1L2, Canada","Pubs, Brasseries, Breweries",45.5384,-73.56974,4.5
Labarake - Caserne à Manger,"3165 Rue Rachel E, Montreal, QC H1W 1A3, Canada",Brasseries,45.5449080404035,-73.5611579756388,3.0
Station W,"2600 Rue William-Tremblay, Local 124, Montreal, QC H1Y 3J2, Canada","Coffee & Tea, Patisserie/Cake Shop, Breakfast & Brunch",45.542824,-73.564246,4.5
Café Lézard,"3119, rue Masson, Montreal, QC H1Y 1X9, Canada",Cafes,45.5494678,-73.5740617,4.0
Pot Masson,"3141 Rue Masson, Montreal, QC H1Y 1X9, Canada","Cocktail Bars, Canadian (New), Breakfast & Brunch",45.54976,-73.5742,3.5
Mamie Clafoutis,"4093 Rue Molson, Montreal, QC H1Y 3L1, Canada","Coffee & Tea, Bakeries, Desserts",45.542056,-73.56365,4.5
Miami Déli,"3090 Rue Sherbrooke E, Montreal, QC H1W 1B5, Canada","Breakfast & Brunch, Barbeque, Pizza",45.54207,-73.55766,3.0
Maneki Comptoir Asiat',"3121 Rue Hochelaga E, Montreal, QC H1W 1G3, Canada",Pan Asian,45.54206,-73.55472,4.0
Croissant Croissant,"2270 Avenue du Mont-Royal E, Montreal, QC H2H 1K6, Canada","Bakeries, Coffee & Tea",45.53707,-73.57026,4.5
Nori Sushi,"2967 Rue Sherbrooke E, Montreal, QC H1W 1B2, Canada","Sushi Bars, Vietnamese, Japanese",45.5407710012442,-73.5608044020455,4.5
Rose Ross,"3017 Rue Masson, Montreal, QC H1Y 1X7, Canada",Canadian (New),45.54902,-73.57465,4.5
Maesmi,"3353 Rue Masson, Montreal, QC H1X 1R5, Canada","Cafes, Coffee & Tea, Bakeries",45.5516536825051,-73.5728340502859,4.5
Jardin des Délices,"3537 Rue Rachel E, Montreal, QC H1W 1A8, Canada","Thai, Vegetarian, Vietnamese",45.54952,-73.5584499,5.0
Première Moisson,"3001 Rue Masson, Montreal, QC H1Y 1X7, Canada","Bakeries, Delicatessen, Meat Shops",45.5489,-73.57471,4.0
Elvita's,"2931 Rue Masson, Montreal, QC H1Y 1X5, Canada","Food Trucks, Mediterranean, Latin American",45.5484703,-73.5748761,4.5
La Succursale,"3188 Rue Masson, Montreal, QC H1Y 1Y2, Canada","Breweries, Pubs",45.5502732,-73.5735729,4.0
Mojito & Margarita,"3127 Rue Masson, Montreal, QC H1Y 1X9, Canada","Cuban, Mexican",45.549568,-73.574167,5.0
Restaurant Tex Mex,"2212 Rue Saint Germain, Montreal, QC H1W 2T7, Canada","Mexican, Tex-Mex",45.54254674820509,-73.55020964110446,3.5
Magnolia,"2600 Rue William-Tremblay, Local 120, Montreal, QC H1Y 3J2, Canada",French,45.542724,-73.564338,4.5
L'Oeufrier,"1501 Boulevard Crémazie E, Montreal, QC H2M 2N9, Canada",Breakfast & Brunch,45.5533648,-73.6248845,3.0
Parc Frédéric-Back,"2235 Rue Michel-Jurdant, Montreal, QC H1Z 4N1, Canada",Parks,45.5581117317277,-73.6212652308504,4.0
Restaurant O Cantinho,"3204 Jarry Rue E, Montreal, QC H1Z 2E2, Canada",Portuguese,45.56316,-73.60975,4.0
Casse-Croûte Sissi & Paul,"2517 Rue Jean-Talon E, Montreal, QC H2A 1T6, Canada",Haitian,45.55398,-73.60214,4.5
Banh Xeo Minh,"2670 Rue Jarry E, Montreal, QC H1Z 2C2, Canada",Vietnamese,45.560946,-73.611782,4.5
Pho Ngon,"3205 Boulevard Crémazie E, Montreal, QC H1Z 4M5, Canada",Vietnamese,45.5622,-73.607714,3.5
La Conca d'Oro,"2550 Rue Jean-Talon E, Montreal, QC H2A 1T9, Canada",Bakeries,45.5542938648377,-73.6012211984287,4.5
Fondue Kim Long,"3250 Boulevard Crémazie E, Montreal, QC H2A 2Y6, Canada","Fondue, Chinese, Hot Pot",45.562726,-73.605534,4.0
Kim Hour,"7682 Boulevard Saint-Michel, Montreal, QC H2A 3A5, Canada","Cambodian, Chinese, Thai",45.561651,-73.605223,3.5
Poissonerie Restaurant Mediteraneene,"7735 Boulevard Saint Michel, Montreal, QC H2A 3A7, Canada",Mediterranean,45.56244,-73.60558,5.0
Restaurant Sizzle,"2468 Rue Jean-Talon E, Montreal, QC H2E 1W2, Canada","Portuguese, Italian",45.5532037580331,-73.6021938174963,4.5
Pho Nam Quan,"3562 Rue Jarry E, Montreal, QC H1Z 2G3, Canada",Vietnamese,45.566567,-73.606808,4.0
Restaurant Ho Guom,"2605 Rue Jean-Talon E, Montreal, QC H2A 1V1, Canada",Vietnamese,45.55528,-73.60095,4.5
Pho Nam,"3250 Blvd Crémazie E, Montreal, QC H2A 3N9, Canada",Vietnamese,45.563051,-73.60555,4.0
Pho Lam,"8485 Boulevard Saint Michel, Montreal, QC H1Z 3E7, Canada",Vietnamese,45.56706,-73.61645,5.0
La Zone,"2660 Rue Jarry E, Montreal, QC H1Z 2C7, Canada","Pubs, Burgers, Sandwiches",45.56069,-73.61181,1.0
Mexico,"2524 Rue Jean-Talon E, Montreal, QC H2A 1T7, Canada","Mexican, Latin American",45.553298626527216,-73.60210154120769,4.0
Club des Pecheurs,"7933 Boulevard Saint-Michel, Montreal, QC H1Z 3C9, Canada",Seafood,45.5633,-73.60768,1.0
Pho Rang Dong,"2670 Rue Jarry E, Montreal, QC H1Z 2C2, Canada",Vietnamese,45.560987,-73.611801,1.0
Doña María,"2489 Rue Jean Talon E, Montreal, QC H2E 1W3, Canada",Salvadoran,45.55362,-73.60242,5.0
Banh Mi Co Kieu,"2569 Rue Jean-Talon, Montreal, QC H2A 1T8, Canada",Vietnamese,45.5546440671502,-73.6014138314582,5.0
Duy-Anh,"7961 Boulevard Saint-Michel, Montreal, QC H1Z 3C9, Canada",Vietnamese,45.563385,-73.6081623,1.0
Café Gentile,"9299 Avenue du Parc, Montreal, QC H2N 2A2, Canada","Sandwiches, Breakfast & Brunch",45.5381974,-73.6545097,4.0
L'Oeufrier,"235 Rue Chabanel O, Montreal, QC H2N 1G3, Canada",Breakfast & Brunch,45.540186,-73.653842,4.0
Pâtisserie Mahrousé,"9705 Boulevard de l'Acadie, Montreal, QC H4N 2W2, Canada","Desserts, Patisserie/Cake Shop",45.535564,-73.663378,4.5
Le St-Urbain,"96 Rue Fleury O, Montreal, QC H3L 1T2, Canada",French,45.54702,-73.66549,4.0
Pho Mymy,"9460 Boulevard l'Acadie, Montreal, QC H4N 1L7, Canada",Vietnamese,45.5340513307552,-73.6601540902156,3.5
Nostos,"9540 Boulevard de l'Acadie, Montreal, QC H4N 1L8, Canada",Greek,45.534296,-73.66139,4.0
Le Brûloir,"318 Rue Fleury Ouest, Montreal, QC H3L 1V5, Canada","Coffee & Tea, Sandwiches, Patisserie/Cake Shop",45.5436,-73.6675999,4.0
Restaurant Shish-Kebab,"9394 Boulevard de l'Acadie, Montreal, QC H4N 3H1, Canada",Lebanese,45.533408,-73.658515,4.0
La Prep,"433 Rue Chabanel W, Montreal, QC H2N 2J4, Canada","Breakfast & Brunch, Sandwiches, Salad",45.5387587,-73.6546019,5.0
Restaurant Pasta Bar,"230 Chabanel Rue W, Montreal, QC H2N 1G2, Canada",Italian,45.5407,-73.65293,4.5
Les Cavistes,"196 Rue Fleury O, Montreal, QC H3L 1T5, Canada","French, Wine Bars, Seafood",45.545757,-73.666302,4.0
Café Barista,"111A Rue de Louvain O, Montreal, QC H2N 1A3, Canada",Coffee Roasteries,45.5429969,-73.656485,5.0
Mr. Puffs,"9191 Boul De L'Acadie, Montreal, QC H4N 3K1, Canada","Desserts, Coffee & Tea",45.53342064657295,-73.65524159210696,4.0
Solemer,"1805 Rue Sauvé Ouest, Montreal, QC H4N 3B8, Canada","Lebanese, Mediterranean, Seafood",45.5353584,-73.6661224,4.0
Bar Vintage 132,"132 Rue Fleury O, Montreal, QC H3L 1T4, Canada",Bars,45.5466484243969,-73.6659856711132,4.5
Roasters,"931 Boulevard Crémazie O, Montreal, QC H4N 3M5, Canada","Bars, Barbeque, Chicken Shop",45.532474,-73.648913,3.0
Allô! Mon Coco,"9197 Boulevard de l'Acadie, Montreal, QC H4N 3K1, Canada",Breakfast & Brunch,45.5333615168791,-73.6556626462702,3.0
Kokoro Sushi,"1150 Rue Sauvé O, Montreal, QC H4N 0C6, Canada","Sushi Bars, Asian Fusion, Japanese",45.5349217,-73.6654782,4.0
Cocktail Antabli,"9254 Boulevard de l'Acadie, Montreal, QC H4N 3C5, Canada","Ice Cream & Frozen Yogurt, Desserts, Creperies",45.532623,-73.656031,3.5
Punjab Canteen,"695 Rue de Liège O, Montreal, QC H3N 1A9, Canada",Indian,45.53247,-73.64248,4.0
Walter Bistro,"1575 Rue Fleury Est, Montreal, QC H2C 1S7, Canada",French,45.56351,-73.6563199,4.5
Le Petit Flore,"1145 Rue Fleury E, Montreal, QC H2C 1P9, Canada","French, Wine Bars",45.558962,-73.659049,4.0
Tutti Frutti,"10820 Avenue Millen, Montreal, QC H2C 2E9, Canada",Breakfast & Brunch,45.557073681741,-73.6691424448632,2.5
Sama Fusion,"945 Rue Fleury E, Montreal, QC H2C 1P5, Canada","Vietnamese, Sushi Bars, Thai",45.5575701869447,-73.659651093185,4.0
Resto Bar Coin Du Metro,"10719 Rue Lajeunesse, Montreal, QC H3L 2E7, Canada","Sports Bars, Canadian (New)",45.5554619,-73.668457,3.0
