name,category,address,country,latitude,longitude
Beautys Luncheonette,Diner,93 Ave du Mont-Royal Ouest,CA,45.519121,-73.587508
Cocoa Locale,Bakery,4807 Ave du Parc,CA,45.51845,-73.592525
Parc Jeanne-Mance,Park,N/A,CA,45.516572,-73.584326
Buvette Chez Simone,Wine Bar,4869 Ave du Parc,CA,45.518826,-73.593555
Hof Kelsten,Bakery,4524 Saint-Laurent Blvd,CA,45.520322,-73.587111
Monument to Sir George-Étienne Cartier,Monument,N/A,CA,45.514397,-73.585128
Darling,Lounge,4328 Saint-Laurent Blvd,CA,45.518909,-73.583965
Café Lulu,Café,852 Sainte-Catherine Rue E,CA,45.515966,-73.558245
Bibliothèque et Archives nationales du Québec,Library,475 Blvd de Maisonneuve Est,CA,45.515487,-73.562251
Archambault,Music Store,500 Sainte-Catherine Rue E,CA,45.514695,-73.559271
Vua Sandwichs,Sushi Restaurant,1579 Saint-Denis Rue,CA,45.514746,-73.562372
Saint-Houblon,Gastropub,1567 Saint-Denis Rue,CA,45.514696,-73.562032
La graine brûlée,Café,921 Sainte-Catherine Rue E,CA,45.516769,-73.557883
Pourquoi Pas Espresso Bar,Café,1447 Atateken Rue,CA,45.517964,-73.557776
Maison de Thé Camellia Sinensis,Café,351 Emery Rue,CA,45.514661,-73.563774
Cinémathèque Québécoise,Movie Theater,335 Blvd de Maisonneuve Est Montréal,CA,45.514003,-73.562591
O'Thym,French Restaurant,1112 Blvd de Maisonneuve Est,CA,45.518359,-73.557934
Pharmaprix,Drugstore,7355 St-Michel Blvd,CA,45.559946,-73.600225
Bar Zoe Karaoke et Cocktails,Night Club,3296 Jean-Talon Rue E,CA,45.559605,-73.59745
Marché Aux Puces St-Michel,Antique Store,7707 Shelley Ave,CA,45.56269,-73.60497
Poissonnerie Méditerranée,Deli,7735 Saint-Michel Blvd,CA,45.562449,-73.605641
Marché Kim Hour Inc,Cantonese Restaurant,7734 Saint-Michel Blvd,CA,45.561716,-73.605374
Pho Ngon,Vietnamese Restaurant,3205 Cremazie Blvd E,CA,45.562234,-73.607816
Conca d'Oro,Bakery,2549 Jean-Talon Rue E,CA,45.554463,-73.6015
Restaurant Pho Nam Inc,Vietnamese Restaurant,3250 Cremazie Blvd E,CA,45.563075,-73.605613
Le Petit Coin Mexicain,Mexican Restaurant,2474 Jean-Talon Rue E,CA,45.553258,-73.602091
Jean Coutu,Drugstore,2980 Belanger Rue,CA,45.55492,-73.595891
Boulangerie & Pâtisserie Tillemont Inc,Bakery,1812 Tillemont Rue,CA,45.552123,-73.615774
Tim Hortons,"Cafe, Coffee, and Tea House",8115 Papineau Ave,CA,45.553589,-73.619071
La Belle Bleue,BBQ Joint,1865 Jean-Talon Rue E,CA,45.548501,-73.606783
Théâtre Aux Écuries,Movie Theater,7285 Chabot Rue,CA,45.550127,-73.607855
Aquarius Poissons Tropicaux,Pet Supplies Store,2347 Jean-Talon Rue E,CA,45.552435,-73.603422
Boulangerie & Charcuterie San Pietro,Bakery,1950 Jean-Talon Rue E,CA,45.549206,-73.605643
Thai Sep,Thai Restaurant,1900 Jean-Talon Rue E,CA,45.548626,-73.606206
Cirque du Soleil - Siège Social International,Arts and Entertainment,8400 2e Ave,CA,45.56146,-73.615016
Café Zezin,Bakery,2351 Jean-Talon Rue E,CA,45.552666,-73.603235
Le Petit Coin Mexicain,Mexican Restaurant,2474 Jean-Talon Rue E,CA,45.553258,-73.602091
Rôtisseries Benny & Au Coq,Fried Chicken Joint,3397 Saint-Zotique Rue E,CA,45.5575,-73.589235
Parc Etienne-Desmarteau,Park,N/A,CA,45.560565,-73.578279
Beaubien Deli,Restaurant,4023 Beaubien Rue E,CA,45.562001,-73.580362
Subway,Deli,3975 Beaubien Rue E,CA,45.561764,-73.580839
Parc Beaubien,Nail Salon,3226 Beaubien Rue E,CA,45.553564,-73.587169
Sandwicherie Sue,Caterer,2660 Beaubien Rue E,CA,45.551189,-73.58937
Subway,Deli,3246 Rosemont Blvd,CA,45.552963,-73.58041
Rénovation Crystal,General Contractor,6550 21e Ave,CA,45.562535,-73.582028
Tessier Breton Desjardins Dentistes,Dentist,4055 Beaubien Rue E,CA,45.562405,-73.580035
Restaurant Steve Anna,Grocery Store,3302 Belanger Rue,CA,45.557929,-73.593274
SAQ Sélection-Ateliers Angus,Grocery Store,4125 Andre-Laurendeau Rue,CA,45.543427,-73.563042
Joe Fresh,Clothing Store,2925 Rachel Rue E,CA,45.544519,-73.562446
Hoogan et Beaufort,French Restaurant,4095 Molson Rue,CA,45.542278,-73.563684
Labarake,Gastropub,3165 Rachel Rue E,CA,45.544943,-73.561151
Mamie Clafoutis,Bakery,4093 Molson Rue,CA,45.542052,-73.56358
Maneki Comptoir Asiat',Asian Restaurant,3121 Hochelaga Rue,CA,45.542177,-73.554617
Bento Sushi,Restaurant,2925 Rachel Rue E,CA,45.544915,-73.562507
CECI Centre d'Étude et de Coopération Internationale,Non-Profit Organization,3000 Omer-Lavallee Rue,CA,45.545617,-73.56156
Boulangerie Au Pain Dore Ltee,Bakery,3075 Rue de Rouen,CA,45.540006,-73.552367
Rôtisseries Benny & Au Coq,BBQ Joint,3050 Hochelaga Rue,CA,45.540696,-73.554764
L'Espace Public-Brasseurs de Quartier,Bar,3632 Ontario Rue E,CA,45.545508,-73.544398
La Boutique Arhoma,Bakery,15 Simon-Valois Pl,CA,45.547683,-73.543594
Atomic Cafe,Café,3606 Ontario Rue E,CA,45.545279,-73.544488
Boucherie Beau-Bien Inc,Butcher,3748 Ontario Rue E,CA,45.546717,-73.543612
Antidote Bouffe Végane,Coffee Shop,3459 Ontario Rue E,CA,45.543946,-73.545754
Poutine Centrale,Burger Joint,3971 Hochelaga Rue,CA,45.551436,-73.549141
Restaurant la Pataterie Inc,Fast Food Restaurant,3860 Ontario Rue E,CA,45.547753,-73.542966
Heirloom,Pizzeria,3991 Ontario Rue E,CA,45.549418,-73.542097
État-Major,Restaurant,4005 Ontario Rue E,CA,45.549476,-73.54205
Madame Smith,Lounge,4061 Ontario Rue E,CA,45.550052,-73.54168
Bibliothèque et Archives nationales du Québec,Library,475 Blvd de Maisonneuve Est,CA,45.515487,-73.562251
Maison de Thé Camellia Sinensis,Café,351 Emery Rue,CA,45.514661,-73.563774
Vua Sandwichs,Sushi Restaurant,1579 Saint-Denis Rue,CA,45.514746,-73.562372
Patrick'S Pub Irlandais,Irish Pub,1707 Saint-Denis Rue,CA,45.515508,-73.564043
Saint-Houblon,Gastropub,1567 Saint-Denis Rue,CA,45.514696,-73.562032
Le 4e Mur,Music Venue,2021 Saint-Denis Rue,CA,45.516216,-73.565568
Cineplex Cinemas,Movie Theater,350 Emery Rue,CA,45.514488,-73.563914
Randolph Pub Ludique,Amusement Park,2041 Saint-Denis Rue,CA,45.516495,-73.565819
Cinémathèque Québécoise,Movie Theater,335 Blvd de Maisonneuve Est Montréal,CA,45.514003,-73.562591
Archambault,Music Store,500 Sainte-Catherine Rue E,CA,45.514695,-73.559271
Le Butterblume,Café,5836 Saint-Laurent Blvd,CA,45.527497,-73.602946
Bibliothèque Marc-Favreau,Library,500 Rosemont Blvd,CA,45.531936,-73.597082
Drawn & Quarterly,Bookstore,211 Bernard Rue O,CA,45.524847,-73.6047
Café Olimpico,Café,124 Saint-Viateur Rue O,CA,45.52403,-73.600216
La Maison de Mademoiselle Dumpling,Cantonese Restaurant,6381 Saint-Hubert Rue,CA,45.536031,-73.602449
Vices & Versa Bistro du Terroir Inc,Beer Bar,6631 Saint-Laurent Blvd,CA,45.531316,-73.61063
St-Viateur Bagel,Bagel Shop,263 Saint- Viateur Rue O,CA,45.522745,-73.601918
Larry's,Restaurant,9 Fairmount Ave E,CA,45.524086,-73.594743
Isle de Garde,Bar,1039 Beaubien Rue E,CA,45.537689,-73.60197
Fairmount Bagel Bakery Inc,Bagel Shop,74 Fairmount Ave O,CA,45.522827,-73.595186
Parc Olympique,Swimming Pool,4141 Pierre-De Coubertin Ave,CA,45.559971,-73.551495
Société des amis du Biodôme de Montréal,Museum,4777 Pierre-De-Coubertin Ave,CA,45.559705,-73.550565
Space for Life Montreal Biodome,Museum,4777 PIERRE-de COUBERTIN Ave,CA,45.559654,-73.549719
Planétarium Rio Tinto Alcan,Museum,4801 Pierre-De Coubertin Ave,CA,45.560558,-73.550543
Cineplex Inc,Movie Theater,4825 Pierre de Coubertin Ave,CA,45.560677,-73.547492
Stade Saputo,Stadium,4750 Sherbrooke Rue E,CA,45.563076,-73.552514
Montreal Botanical Garden (Jardin Botanique de Montréal),Garden,4101 Sherbrooke Rue E,CA,45.560002,-73.563009
Centre Pierre Charbonneau,Recreation Center,3000 Viau Rue,CA,45.562274,-73.550016
Jardin de Chine,Garden,N/A,CA,45.559145,-73.558644
Aréna Maurice-Richard,Skating Rink,2800 Viau Rue,CA,45.562219,-73.547104
Parc de Lorimier,Park,1975 Laurier Ave E,CA,45.537019,-73.57917
Odessa l'Entrepôt,Fish Market,4900 Molson Rue,CA,45.541963,-73.570799
L'Entre-Pots,Café,1995 Masson Rue,CA,45.538881,-73.582623
Croissantcroissant,Bakery,2270 Ave du Mont Royal E,CA,45.5372,-73.570259
Boswell Brasserie Artisanale,Bar,2407 Ave du Mont-Royal Est,CA,45.538461,-73.569717
Kasa Sushi,Sushi Restaurant,2190 Ave du Mont Royal Est,CA,45.536216,-73.571148
Café des Bois,Café,2296 Ave du Mont Royal Est,CA,45.537316,-73.570165
Parc du Pélican,Park,H1Y MONTRéAL,CA,45.544054,-73.574161
La Distillerie No2,Cocktail Bar,2047 Ave du Mont-Royal Est,CA,45.535105,-73.572712
Les Co'Pains d'Abord,Bakery,1965 Ave du Mont-Royal Est,CA,45.534294,-73.573461
Café de' Mercanti - Old Montreal,Café,350 Notre-Dame Rue E,CA,45.509659,-73.552669
Pub BreWskey,Pub,380 Saint Paul Rue E,CA,45.509457,-73.551404
Place Vauquelin,Museum,N/A,CA,45.508602,-73.55438
Le Club Chasse et Pêche,French Restaurant,423 Saint-Claude Rue,CA,45.50887,-73.552354
La Maison Smith,Dessert Shop,23 Notre-Dame Rue,CA,45.510694,-73.5605
Place Jacques Cartier,Plaza,N/A,CA,45.507998,-73.553343
Café Lulu,Café,852 Sainte-Catherine Rue E,CA,45.515966,-73.558245
Archambault,Music Store,500 Sainte-Catherine Rue E,CA,45.514695,-73.559271
Stereo Night Club,Night Club,1003 Sainte Catherine Rue E,CA,45.516024,-73.558199
Quebec Fine Crafts Boutique (Boutique Métiers d'Arts),Retail,20 Saint-Paul Rue O,CA,45.505205,-73.553788
Parc des Faubourgs,Park,N/A,CA,45.527172,-73.557583
La Fabrique Arhoma,Bakery,1700 Ontario Rue E,CA,45.525605,-73.559229
Le Lion d'Or,Arts and Entertainment,1676 Ontario Rue E,CA,45.525372,-73.559512
Au Petit Extra,Bistro,1690 Ontario Rue E,CA,45.525485,-73.559516
Grenade - Resto-bar et terrasse,Asian Restaurant,1603 Ontario Rue E,CA,45.52496,-73.560226
Pharmaprix,Drugstore,1580 Ontario St E,CA,45.524567,-73.559971
Échappe-toi Montréal,Escape Room,2244 Lariviere Rue,CA,45.530525,-73.557544
Espace Libre,Music Venue,1945 Fullum Rue,CA,45.530303,-73.554484
Usine C,Concert Hall,1345 Lalonde Ave,CA,45.522224,-73.560624
Parc à chiens du Parc la Fontaine,Dog Park,N/A,CA,45.52746,-73.565829
La Mer,Fish Market,1840 Rene-Levesque Blvd E,CA,45.52172,-73.549029
